City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
465,Bida,NG,9.0833,6.0167,74.16,47,76,1.9,broken clouds
466,Tsiroanomandidy,MG,-18.7667,46.0333,69.08,79,47,1.21,scattered clouds
467,Homer,US,59.6425,-151.5483,36.81,82,100,5.01,overcast clouds
468,Laguna,US,38.421,-121.4238,51.06,81,0,4.61,clear sky
469,Bulawayo,ZW,-20.15,28.5833,66.67,73,0,1.23,clear sky
470,Alugan,PH,12.2188,125.4808,82.54,76,98,7.72,heavy intensity rain
471,Abu Dhabi,AE,24.4667,54.3667,80.62,44,0,6.91,clear sky
472,Tura,IN,25.5198,90.2201,72.88,82,4,1.23,clear sky
473,Chibuto,MZ,-24.6867,33.5306,73.72,90,91,10.8,light rain
474,Baikunthpur,IN,23.25,82.55,69.48,52,0,3.06,clear sky
475,Chanute,US,37.6792,-95.4572,69.91,78,0,14.97,clear sky
476,Akureyri,IS,65.6835,-18.0878,39.13,93,75,3.44,broken clouds
477,Naze,JP,28.3667,129.4833,76.12,78,72,10.85,broken clouds
478,Road Town,VG,18.4167,-64.6167,80.69,73,53,13.49,broken clouds
479,Slave Lake,CA,55.2834,-114.769,1.38,85,0,6.91,clear sky
480,Umm Lajj,SA,25.0213,37.2685,71.92,61,0,9.1,clear sky
481,Sao Filipe,CV,14.8961,-24.4956,77.4,67,100,9.15,overcast clouds
482,Kangaatsiaq,GL,68.3065,-53.4641,22.15,73,100,21.54,overcast clouds
483,Ankpa,NG,7.3706,7.6253,69.84,88,84,4.05,broken clouds
484,Ponta Delgada,PT,37.7333,-25.6667,69.49,88,75,17.27,broken clouds
485,Sorong,ID,-0.8833,131.25,84.2,69,75,6.31,broken clouds
486,Ferrol,ES,43.4832,-8.2369,61.32,88,95,7.43,overcast clouds
487,Half Moon Bay,US,37.4636,-122.4286,54.63,82,0,10.36,clear sky
488,Ayan,RU,56.45,138.1667,18.05,51,56,15.39,broken clouds
489,Northam,GB,51.0333,-4.2167,54.61,92,41,17.72,scattered clouds
490,Voyvozh,RU,62.892,54.9635,30.11,98,98,4.61,overcast clouds
491,Kudahuvadhoo,MV,2.6708,72.8944,80.55,77,100,12.91,overcast clouds
492,Uchana,IN,29.4667,76.1667,71.82,46,87,3.04,overcast clouds
