City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
352,Langfang,CN,60.76,scattered clouds,39.5097,116.6947,Wanda Realm Langfang
353,Guadalupe Y Calvo,MX,46.17,few clouds,26.1,-106.9667,Hotel Pizarro
354,Songjianghe,CN,45.05,overcast clouds,42.1859,127.479,Sijisheng Fashion Guest House
355,Alice Springs,AU,94.55,clear sky,-23.7,133.8833,Desert Palms Alice Springs
356,Boende,CD,67.84,overcast clouds,-0.2167,20.8667,
357,Manaure,CO,80.17,overcast clouds,11.7751,-72.4445,Hotel Palaaima
358,Pisco,PE,60.85,clear sky,-13.7,-76.2167,Hotel San Isidro Oficial
361,Betamcherla,IN,73.94,clear sky,15.4667,78.1667,Vasudhara cooldrinks
362,Mareeba,AU,85.44,overcast clouds,-17.0,145.4333,Trinity Plains Tourist Park
363,Doha,QA,82.38,clear sky,25.2867,51.5333,Mövenpick Doha
364,Cayenne,GF,77.04,broken clouds,4.9333,-52.3333,Hôtel Le Dronmi
365,Vila Franca Do Campo,PT,69.19,overcast clouds,37.7167,-25.4333,Pestana Bahia Praia
366,Lunglei,IN,71.89,clear sky,22.8833,92.7333,Hotel Elite
368,Nchelenge,ZM,68.32,moderate rain,-9.3451,28.734,KD Travellers Home
369,Uchiza,PE,69.85,broken clouds,-8.4592,-76.4633,Hotel San Pedro
370,Anton Lizardo,MX,78.22,light rain,19.05,-95.9833,Hotel CocoAventura
371,Port Blair,IN,83.8,scattered clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Port Blair - Premium Hotel Near the Airport | Idyllic Island Experience Vacation"
374,Mugumu,TZ,61.77,overcast clouds,-1.85,34.7,Lemala Mara
377,Sinfra,CI,69.85,broken clouds,6.6167,-5.9167,Hote Ivoire Sinfra
378,Kaffrine,SN,76.05,clear sky,14.1059,-15.5508,Beuleup counda motel
380,Eshowe,ZA,61.88,overcast clouds,-28.8865,31.4699,Sugar Hill Manor
381,Santa Cruz De Tenerife,ES,74.28,clear sky,28.4682,-16.2546,Hotel Silken Atlántida Santa Cruz
382,Touros,BR,77.22,broken clouds,-5.1989,-35.4608,INN NEW HORIZON
384,Alta Floresta,BR,77.85,broken clouds,-9.8756,-56.0861,Floresta Amazonica Hotel
386,Pandan,PH,84.9,overcast clouds,14.0453,124.1694,Bonifacio Lodge
387,Jaguarao,BR,56.61,few clouds,-32.5661,-53.3758,Hotel Rios
388,Tamluk,IN,78.66,clear sky,22.3,87.9167,Green Valley Resort
389,Mackay,AU,81.68,overcast clouds,-21.15,149.2,International Lodge Motel
390,Osuna,ES,53.91,clear sky,37.2377,-5.1075,Hospedería del Monasterio
391,Maine-Soroa,NE,73.9,few clouds,13.2114,12.0241,Complexe
392,Hami,CN,42.76,overcast clouds,42.8,93.45,Laoyutang Resort
393,Soyo,AO,77.38,overcast clouds,-6.1349,12.3689,Hospedaria ndozi'ame
394,Kagalnitskaya,RU,40.28,clear sky,46.8806,40.1466,maliovka
395,Muros,ES,60.1,overcast clouds,42.7762,-9.0603,Apartment Av. Castelao
397,Oussouye,SN,73.58,clear sky,12.485,-16.5469,Auberge du Routard
399,Victor Harbor,AU,73.99,scattered clouds,-35.5667,138.6167,McCracken Country Club
400,Puerto Narino,CO,73.83,broken clouds,-3.7703,-70.3831,Eware Refugio Amazonico
401,Taonan,CN,42.98,scattered clouds,45.3333,122.7833,Makro Hotel
